# {"env_id": "Hopper-v2", "t_start": 1582886337.905866} 
r,l,t
3.296727,13,3.670101
8.29928,11,3.771753
9.744397,17,3.930813
5.247682,15,4.059427
6.804363,9,4.140558
11.591315,15,4.281802
10.490283,13,4.403346
6.012159,10,4.499954
7.099535,11,4.602196
20.022395,16,4.745957
14.603347,17,4.900043
6.609831,10,4.993594
6.168145,14,5.120289
9.988462,12,5.228051
7.58178,12,5.338842
14.491925,14,5.472509
8.726975,13,5.590852
8.689042,19,5.753686
7.508188,9,5.828876
8.459437,13,5.942538
9.657787,16,6.084484
3.163058,16,6.232854
11.229517,14,6.354074
7.629372,10,6.445374
8.880158,14,6.578469
7.058296,13,6.70152
17.977163,17,6.861954
5.1685,8,6.93748
10.306194,12,7.05131
13.20427,14,7.184112
8.371321,11,7.290354
7.763177,10,7.386104
10.241448,12,7.498872
21.551757,21,7.694817
9.127102,11,7.798723
13.302803,18,7.967535
9.059263,14,8.099989
10.009511,13,8.223096
5.16079,8,8.296632
11.615546,16,8.442773
6.77968,22,8.643514
4.775888,11,8.74449
5.263498,8,8.817554
6.331865,14,8.943858
5.659871,14,9.073521
8.043405,12,9.183922
12.013187,17,9.321373
21.981953,28,9.564704
6.055034,9,9.638649
17.325586,25,9.857576
4.333803,9,9.933217
9.477252,14,10.040037
8.530137,16,10.182177
6.654869,9,10.25615
9.719166,14,10.375919
6.593685,15,10.513678
7.591896,10,10.605866
10.335234,13,10.726809
7.908984,15,10.868056
9.49366,15,11.008161
8.394554,11,11.10976
20.618051,21,11.302715
10.576125,14,11.432852
16.597622,33,11.739575
8.115612,15,11.880827
15.232541,18,12.047253
7.233816,13,12.168026
15.314629,17,12.325586
4.915392,8,12.400194
5.86167,9,12.483182
6.69775,10,12.576526
4.506942,7,12.64131
8.901416,19,12.823868
8.42178,13,12.947857
7.596093,13,13.068057
5.973498,10,13.160156
10.34739,16,13.308461
11.705541,18,13.473625
14.230531,16,13.623257
13.58052,13,13.746202
8.337341,11,13.846743
14.122016,16,13.995157
7.651137,11,14.095341
7.45495,11,14.19636
6.201587,21,14.390079
6.672767,9,14.471554
7.262916,16,14.63059
9.29348,14,14.759674
11.597714,22,14.961395
12.568271,16,15.107585
10.250563,19,15.288153
6.430212,10,15.379528
23.565824,25,15.611695
9.435263,15,15.750903
8.966538,10,15.84448
8.218109,11,15.94631
5.419948,15,16.0849
4.55033,11,16.188193
5.820785,10,16.280706
12.069623,27,16.533705
5.864589,10,16.625516
15.54534,19,16.801747
6.482892,8,16.877493
6.501318,14,17.00917
6.42228,10,17.103586
23.887779,23,17.308512
6.178657,12,17.42523
13.547384,16,17.573524
6.903262,18,17.741955
6.982329,10,17.838099
13.289728,17,17.99737
5.787414,13,18.118754
10.651505,19,18.303449
4.902393,9,18.387212
8.019526,11,18.49164
16.211313,17,18.651948
19.125094,18,18.826477
9.703109,15,18.968736
5.117543,9,19.052438
9.81448,13,19.173688
8.351502,12,19.295274
9.553898,13,19.417178
9.306698,14,19.549478
3.704882,15,19.692172
16.599918,26,19.937154
10.342417,14,20.063662
6.881809,9,20.14503
8.284231,16,20.301192
10.608121,13,20.424597
12.586493,15,20.564982
10.517713,14,20.691363
7.734444,16,20.836777
5.957421,8,20.913063
15.044844,15,21.051617
11.450439,16,21.205134
11.714847,13,21.327861
4.123418,8,21.402772
10.684826,13,21.532936
9.759023,15,21.683779
15.300233,18,21.863498
