# {"t_start": 1582792262.207367, "env_id": "HalfCheetah-v2"} 
r,l,t
-63.689986,1000,4867.696953
-9.174822,1000,4951.166252
14.047042,1000,4963.237046
44.099677,1000,5052.71316
-84.809869,1000,5062.341876
-4.623066,1000,5144.003981
87.882931,1000,5154.255251
37.765068,1000,5249.056857
85.780064,1000,5259.670667
42.902351,1000,5345.139904
49.501078,1000,5355.604011
-14.411926,1000,5448.954277
37.526278,1000,5458.811788
110.526535,1000,5541.417742
147.771615,1000,5551.361117
100.747847,1000,5646.968414
148.537515,1000,5657.393987
162.040861,1000,5761.336358
118.235066,1000,5774.342382
230.628432,1000,5864.024415
154.249954,1000,5874.397029
180.876984,1000,5956.713173
220.013389,1000,5968.190859
281.868929,1000,6060.354589
338.635681,1000,6070.424551
256.717786,1000,6155.025765
299.945009,1000,6165.370185
299.402912,1000,6262.323941
316.110334,1000,6272.526165
410.59433,1000,6356.11557
415.405462,1000,6366.085174
371.200024,1000,6461.507785
118.44592,1000,6471.52592
417.61698,1000,6554.282737
464.906895,1000,6564.364491
468.225629,1000,6660.772529
494.647886,1000,6670.840301
585.31874,1000,6754.330746
548.874169,1000,6764.762638
516.792015,1000,6859.551637
555.176416,1000,6869.576233
72.091606,1000,6879.625334
580.177729,1000,6963.06397
568.798097,1000,6973.489505
569.588602,1000,7069.175571
396.427361,1000,7079.150532
591.359206,1000,7162.583891
572.966419,1000,7172.965934
654.392504,1000,7268.207878
695.685646,1000,7278.552665
637.240385,1000,7363.492172
656.321462,1000,7373.46486
620.315635,1000,7470.000634
645.396485,1000,7479.954579
706.488441,1000,7563.473308
699.050164,1000,7573.589948
608.121404,1000,7669.453821
732.668603,1000,7679.478552
710.96961,1000,7764.202382
752.944854,1000,7774.580636
778.448998,1000,7869.719952
759.148257,1000,7880.158652
735.832273,1000,7964.752748
790.085127,1000,7975.095971
698.861047,1000,8071.620368
773.639416,1000,8082.353401
776.202156,1000,8166.150606
708.527276,1000,8176.789827
801.438115,1000,8291.178464
770.576298,1000,8301.599023
752.70847,1000,8385.062279
891.304639,1000,8395.253373
770.522253,1000,8489.57239
831.907578,1000,8499.801952
855.168427,1000,8581.90101
859.715159,1000,8591.854943
921.909647,1000,8687.766601
871.673115,1000,8698.147946
953.161071,1000,8780.946491
895.278415,1000,8790.949744
893.161222,1000,8888.189618
886.07504,1000,8898.948916
966.416142,1000,8981.92347
964.215223,1000,8991.819815
931.898511,1000,9001.688912
947.500451,1000,9096.638404
927.886469,1000,9106.380253
889.339481,1000,9190.439941
925.827551,1000,9200.568576
966.924509,1000,9295.688638
908.167492,1000,9305.783476
1024.723327,1000,9387.770544
985.677726,1000,9397.160628
957.369122,1000,9491.939381
1007.006054,1000,9503.848776
991.200785,1000,9586.992792
996.227512,1000,9597.134197
1049.724353,1000,9689.075599
1054.539042,1000,9701.928637
1057.514207,1000,9785.791754
1031.218637,1000,9795.739008
1029.548193,1000,9885.074784
1029.138842,1000,9897.260499
1046.07652,1000,9980.528011
1050.581376,1000,9990.361881
1071.087953,1000,10078.748135
1049.504152,1000,10090.783674
1052.567363,1000,10181.328007
1068.725037,1000,10191.720805
1127.045217,1000,10278.648059
1050.078735,1000,10290.70291
1139.00927,1000,10378.554742
1112.083776,1000,10388.644457
1128.804754,1000,10472.193888
1075.472931,1000,10484.572756
1093.699862,1000,10586.725583
1048.188693,1000,10600.772438
1136.219426,1000,10710.701117
1104.819673,1000,10722.481574
1077.826933,1000,10860.394901
1144.418013,1000,10873.237007
1165.522736,1000,10971.059176
-388.327349,1000,10982.302284
1063.329877,1000,11088.403293
1129.910257,1000,11099.577197
1155.355608,1000,11201.341242
1122.869736,1000,11213.76449
1120.666922,1000,11226.053699
1160.927302,1000,11332.929826
1127.871138,1000,11345.167361
1121.161068,1000,11440.887895
1064.209482,1000,11451.950919
1159.287687,1000,11548.837035
1176.721429,1000,11560.750787
1153.993229,1000,11675.403609
1161.472316,1000,11687.109758
1148.667521,1000,11784.143588
1163.125439,1000,11795.205874
1172.112235,1000,11897.462359
1196.614804,1000,11909.738791
1224.432873,1000,12015.119837
1182.55838,1000,12028.117996
1221.410161,1000,12126.94872
1198.353087,1000,12139.462396
1225.844175,1000,12241.35281
1245.378138,1000,12252.578269
1211.004764,1000,12352.969035
1206.803305,1000,12365.894081
1121.833554,1000,12475.08305
1151.179295,1000,12487.853626
1167.760821,1000,12584.934692
1254.145585,1000,12596.143408
1226.892456,1000,12694.218366
-394.230671,1000,12709.224762
1131.159184,1000,12819.175422
1192.738687,1000,12830.244819
1267.019006,1000,12927.242592
1280.373627,1000,12938.727408
1101.308474,1000,13042.859658
1144.893476,1000,13055.707687
1168.952963,1000,13158.130608
1243.011561,1000,13170.719388
1157.188502,1000,13273.388081
1227.715892,1000,13285.98638
1250.962912,1000,13386.988823
1252.972368,1000,13398.349915
1264.737052,1000,13499.0607
1269.244576,1000,13511.899193
1267.64279,1000,13525.037427
-390.553935,1000,13636.002923
-379.127337,1000,13648.091794
1235.289137,1000,13764.758108
1251.165221,1000,13775.703504
1311.383798,1000,13883.641539
1275.926817,1000,13898.85351
1234.930205,1000,14002.75594
1236.628368,1000,14014.094611
