# {"t_start": 1583034220.150134, "env_id": "Hopper-v2"} 
r,l,t
43.607794,36,287.50073
173.455158,84,287.920543
105.179502,56,288.20058
72.069879,50,288.445673
135.380414,67,288.770195
8.300049,11,288.820412
13.423237,15,288.888131
11.307442,17,288.964372
47.832248,67,289.317366
143.327094,69,289.686491
104.396864,56,290.088922
94.545542,60,290.466865
77.274002,45,290.729579
50.169395,33,290.890347
79.856805,46,291.122569
100.461179,56,291.425907
99.724774,54,291.691334
53.560847,32,291.872892
30.33997,36,292.087833
11.107987,13,292.15322
161.570768,76,375.787689
202.767928,89,376.955163
187.745422,85,377.645363
54.833268,33,377.946254
61.885373,38,378.287535
182.732048,84,378.98856
126.592677,67,379.55303
59.539997,36,379.853707
186.212245,85,380.558478
29.62935,27,380.77263
62.130513,37,381.065179
75.581866,53,381.50689
157.767657,77,382.161968
73.679986,44,382.511001
66.658229,43,382.868894
203.757434,90,383.631812
164.11212,78,383.990165
81.714262,47,384.200312
77.007797,45,384.416346
218.359542,105,384.915707
103.663987,56,385.186832
127.685278,65,385.52199
94.151448,52,385.758538
13.267226,15,385.828071
94.442933,51,386.058157
140.795381,76,386.393573
53.039949,32,386.538764
67.837413,41,386.723736
126.208063,73,387.053092
63.95403,38,387.233715
110.097843,60,387.505889
46.304482,34,387.68283
68.317412,41,387.885259
90.229684,51,388.132761
90.071987,50,388.385377
111.992373,59,388.670697
79.727497,49,460.561148
161.878677,76,461.204669
209.091484,91,461.957609
61.520806,38,462.253733
108.568949,59,462.827106
83.737314,57,463.292505
60.187354,36,463.597864
83.819204,50,464.038591
188.688234,85,464.734576
80.422561,47,465.097852
150.908682,72,465.724232
210.734307,93,466.507612
210.234803,93,467.32748
95.3252,55,467.818371
178.379025,81,468.500284
203.771782,90,469.233802
89.725179,51,469.656145
19.747314,36,469.9664
207.007981,91,470.721814
147.011044,71,471.279009
150.250702,73,471.928016
106.143343,57,472.426861
211.141892,93,473.237594
155.403657,74,473.882899
191.217492,85,474.629964
166.532996,91,475.427197
186.985819,87,476.141218
169.296219,80,476.822375
87.916218,53,477.245106
194.204638,86,553.580061
65.49498,40,553.75803
171.200342,80,554.108696
216.790237,96,554.549145
216.951676,94,554.980831
201.688524,88,555.36961
162.386302,76,555.72506
204.393308,90,556.128129
203.369873,91,556.528781
178.435709,81,556.88461
198.68507,93,557.3006
210.186382,94,557.745229
203.596139,92,558.152914
199.318322,89,558.551932
146.903862,71,558.886636
86.336691,49,559.107191
161.541294,78,559.450006
196.599814,86,559.832406
195.194231,88,560.252167
217.416331,94,560.717243
95.696456,53,560.978589
124.829235,63,561.266897
204.693642,90,561.724056
204.025574,89,562.136831
105.34977,57,562.386792
180.319667,88,562.77202
175.938973,80,647.35024
213.110704,93,647.80658
162.977828,76,648.191566
194.807998,87,648.6549
205.560093,92,649.101283
211.259447,92,649.568358
202.743794,90,649.987217
202.900977,91,650.47101
185.939762,88,650.920525
114.174537,62,651.232975
210.205486,93,651.657399
207.709057,93,652.17044
208.279395,91,652.584043
200.802196,88,652.968604
74.874164,44,653.164486
