Timesteps,ReturnAvg,ReturnStd,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.6,,,,
32768,6.15E+02,414.9331006,,1.01E+03,1.01E+03,9.96E+02,9.96E+02,3.73E+01,3.73E+01,9.73E+00,9.73E+00,1.25E+02,1.25E+02,,7.33E+02,7.33E+02,9.59E+02,9.59E+02,3.77E+01,3.77E+01,4.77E+01,4.77E+01,1.54E+02,1.54E+02,,,,,,,
3.48E+04,6.55E+02,449.5854758,,1.01E+03,1.01E+03,1.01E+03,1.01E+03,3.74E+01,3.74E+01,1.08E+01,1.08E+01,1.23E+02,1.23E+02,,8.43E+02,8.43E+02,9.80E+02,9.80E+02,3.76E+01,3.76E+01,3.29E+01,3.29E+01,1.42E+02,1.42E+02,,,,,,,
36864,6.76E+02,481.5784976,,1.01E+03,1.01E+03,1.02E+03,1.02E+03,3.74E+01,3.74E+01,6.26E+01,6.26E+01,9.16E+01,9.16E+01,,9.11E+02,9.11E+02,9.95E+02,9.95E+02,3.75E+01,3.75E+01,4.48E+01,4.48E+01,1.22E+02,1.22E+02,,,,,,,
3.89E+04,6.89E+02,502.7974657,,1.02E+03,1.02E+03,1.02E+03,1.02E+03,3.75E+01,3.75E+01,9.54E+01,9.54E+01,9.10E+01,9.10E+01,,9.53E+02,9.53E+02,1.01E+03,1.01E+03,3.75E+01,3.75E+01,6.50E+01,6.50E+01,1.09E+02,1.09E+02,,,,,,,
40960,6.92E+02,521.9855243,,1.01E+03,1.01E+03,1.02E+03,1.02E+03,3.74E+01,3.74E+01,9.39E+01,9.39E+01,5.93E+01,5.93E+01,,9.77E+02,9.77E+02,1.01E+03,1.01E+03,3.75E+01,3.75E+01,7.66E+01,7.66E+01,8.94E+01,8.94E+01,,,,,,,
4.30E+04,6.94E+02,534.4025633,,1.01E+03,1.01E+03,1.02E+03,1.02E+03,3.75E+01,3.75E+01,8.65E+01,8.65E+01,5.88E+01,5.88E+01,,9.92E+02,9.92E+02,1.01E+03,1.01E+03,3.75E+01,3.75E+01,8.06E+01,8.06E+01,7.71E+01,7.71E+01,,,,,,,
45056,6.95E+02,543.1682869,,1.02E+03,1.02E+03,1.02E+03,1.02E+03,3.75E+01,3.75E+01,1.09E+02,1.09E+02,5.33E+01,5.33E+01,,1.00E+03,1.00E+03,1.02E+03,1.02E+03,3.75E+01,3.75E+01,9.20E+01,9.20E+01,6.76E+01,6.76E+01,,,,,,,
4.71E+04,6.89E+02,544.440483,,1.01E+03,1.01E+03,9.79E+02,9.79E+02,3.75E+01,3.75E+01,1.15E+02,1.15E+02,5.03E+01,5.03E+01,,1.01E+03,1.01E+03,1.00E+03,1.00E+03,3.75E+01,3.75E+01,1.01E+02,1.01E+02,6.07E+01,6.07E+01,,,,,,,
49152,6.90E+02,535.7599195,,1.01E+03,1.01E+03,9.74E+02,9.74E+02,3.78E+01,3.78E+01,1.27E+02,1.27E+02,8.67E+01,8.67E+01,,1.01E+03,1.01E+03,9.90E+02,9.90E+02,3.76E+01,3.76E+01,1.11E+02,1.11E+02,7.11E+01,7.11E+01,,,,,,,
5.12E+04,7.19E+02,567.5767488,,1.22E+03,1.22E+03,1.01E+03,1.01E+03,3.78E+01,3.78E+01,1.33E+02,1.33E+02,5.83E+01,5.83E+01,,1.09E+03,1.09E+03,9.98E+02,9.98E+02,3.77E+01,3.77E+01,1.20E+02,1.20E+02,6.60E+01,6.60E+01,,,,,,,
53248,7.36E+02,583.1046574,,1.21E+03,1.21E+03,1.00E+03,1.00E+03,3.76E+01,3.76E+01,1.34E+02,1.34E+02,6.92E+01,6.92E+01,,1.14E+03,1.14E+03,9.99E+02,9.99E+02,3.77E+01,3.77E+01,1.26E+02,1.26E+02,6.73E+01,6.73E+01,,,,,,,
5.53E+04,7.38E+02,559.9264598,,1.11E+03,1.11E+03,9.70E+02,9.70E+02,3.73E+01,3.73E+01,5.99E+00,5.99E+00,1.41E+02,1.41E+02,,1.13E+03,1.13E+03,9.88E+02,9.88E+02,3.75E+01,3.75E+01,7.78E+01,7.78E+01,9.68E+01,9.68E+01,,,,,,,
57344,7.50E+02,556.6991706,,1.17E+03,1.17E+03,9.94E+02,9.94E+02,3.72E+01,3.72E+01,5.99E+00,5.99E+00,1.40E+02,1.40E+02,,1.15E+03,1.15E+03,9.90E+02,9.90E+02,3.74E+01,3.74E+01,4.91E+01,4.91E+01,1.14E+02,1.14E+02,,,,,,,
5.94E+04,7.36E+02,542.6084414,,1.04E+03,1.04E+03,9.96E+02,9.96E+02,3.72E+01,3.72E+01,6.22E+00,6.22E+00,1.10E+02,1.10E+02,,1.10E+03,1.10E+03,9.92E+02,9.92E+02,3.73E+01,3.73E+01,3.19E+01,3.19E+01,1.12E+02,1.12E+02,,,,,,,
61440,6.73E+02,487.1642279,,4.23E+02,4.23E+02,1.16E+03,1.16E+03,3.73E+01,3.73E+01,8.34E+00,8.34E+00,1.47E+02,1.47E+02,,8.30E+02,8.30E+02,1.06E+03,1.06E+03,3.73E+01,3.73E+01,2.25E+01,2.25E+01,1.26E+02,1.26E+02,,,,,,,
6.35E+04,6.05E+02,446.1845724,,3.38E+02,3.38E+02,9.98E+02,9.98E+02,3.73E+01,3.73E+01,1.66E+01,1.66E+01,1.73E+02,1.73E+02,,6.33E+02,6.33E+02,1.04E+03,1.04E+03,3.73E+01,3.73E+01,2.01E+01,2.01E+01,1.45E+02,1.45E+02,,,,,,,
65536,5.46E+02,438.6245794,,2.05E+02,2.05E+02,9.97E+02,9.97E+02,3.73E+01,3.73E+01,6.56E+01,6.56E+01,1.70E+02,1.70E+02,,4.62E+02,4.62E+02,1.02E+03,1.02E+03,3.73E+01,3.73E+01,3.83E+01,3.83E+01,1.55E+02,1.55E+02,,,,,,,
6.76E+04,6.19E+02,424.4675089,,1.04E+03,1.04E+03,9.76E+02,9.76E+02,3.73E+01,3.73E+01,2.11E+02,2.11E+02,1.75E+02,1.75E+02,,6.92E+02,6.92E+02,1.00E+03,1.00E+03,3.73E+01,3.73E+01,1.07E+02,1.07E+02,1.63E+02,1.63E+02,,,,,,,
69632,6.63E+02,435.1379618,,1.03E+03,1.03E+03,9.75E+02,9.75E+02,3.73E+01,3.73E+01,1.34E+02,1.34E+02,1.80E+02,1.80E+02,,8.29E+02,8.29E+02,9.91E+02,9.91E+02,3.73E+01,3.73E+01,1.18E+02,1.18E+02,1.70E+02,1.70E+02,,,,,,,
7.17E+04,6.89E+02,448.5167526,,1.02E+03,1.02E+03,9.80E+02,9.80E+02,3.74E+01,3.74E+01,1.95E+02,1.95E+02,1.79E+02,1.79E+02,,9.07E+02,9.07E+02,9.87E+02,9.87E+02,3.73E+01,3.73E+01,1.49E+02,1.49E+02,1.73E+02,1.73E+02,,,,,,,
73728,7.04E+02,458.0315375,,1.03E+03,1.03E+03,9.73E+02,9.73E+02,3.74E+01,3.74E+01,2.11E+02,2.11E+02,1.79E+02,1.79E+02,,9.56E+02,9.56E+02,9.81E+02,9.81E+02,3.74E+01,3.74E+01,1.74E+02,1.74E+02,1.76E+02,1.76E+02,,,,,,,
7.58E+04,6.74E+02,433.7136888,,1.03E+03,1.03E+03,6.66E+02,6.66E+02,3.74E+01,3.74E+01,2.12E+02,2.12E+02,1.84E+02,1.84E+02,,9.87E+02,9.87E+02,8.55E+02,8.55E+02,3.74E+01,3.74E+01,1.89E+02,1.89E+02,1.79E+02,1.79E+02,,,,,,,
77824,6.92E+02,446.0688935,,1.04E+03,1.04E+03,9.36E+02,9.36E+02,3.74E+01,3.74E+01,2.13E+02,2.13E+02,1.85E+02,1.85E+02,,1.01E+03,1.01E+03,8.88E+02,8.88E+02,3.74E+01,3.74E+01,1.99E+02,1.99E+02,1.81E+02,1.81E+02,,,,,,,
