# {"t_start": 1582978408.9344244, "env_id": "Hopper-v2"} 
r,l,t
10.057745,14,4.153579
11.568909,17,4.30449
8.660016,15,4.447816
15.000285,21,4.651671
8.803275,13,4.776478
10.958045,20,4.970241
12.476151,22,5.184102
6.166017,9,5.269466
12.012132,16,5.428329
7.503931,31,5.726066
8.185676,14,5.858812
28.03675,40,6.236868
12.473077,15,6.376694
9.145237,13,6.502838
18.167137,44,6.914722
11.385718,15,7.057954
6.990077,11,7.170452
33.851455,46,7.618465
20.919286,27,7.923544
5.659276,9,8.015796
5.757462,8,8.100239
5.855224,9,8.189856
6.191448,9,8.278968
50.92667,34,8.593554
11.400195,15,8.754175
9.684091,11,8.867093
10.701843,19,9.06159
20.969117,30,9.37033
9.4667,16,9.532788
36.124651,45,9.978335
7.416764,11,10.076231
12.50709,16,10.237095
12.950202,23,10.479704
8.587454,13,10.609151
5.509372,9,10.693914
32.503988,30,10.988042
7.532364,12,11.116244
12.414126,26,11.387792
14.309842,28,11.676541
6.601349,10,11.780438
8.456196,16,11.945821
9.24202,30,12.248382
11.704845,17,12.424612
5.405498,10,12.5272
10.247469,29,12.828951
16.455094,24,13.078786
12.231649,23,13.31606
9.009199,10,13.415329
29.997979,24,13.648056
12.74484,19,13.835773
13.626219,24,14.071336
7.625637,13,14.194616
9.718557,16,14.360919
10.050849,16,14.525969
63.710769,58,15.114648
12.292013,18,15.29069
7.191657,9,15.383905
12.620141,14,15.537179
17.222773,36,15.893469
7.992147,13,16.01864
8.574138,13,16.145756
9.471916,12,16.262503
5.049503,8,16.340127
4.983185,8,16.421255
5.893937,9,16.507357
7.314481,9,16.590798
12.169644,19,16.768732
6.530601,11,16.875894
11.346626,16,17.026249
6.740571,10,17.121962
10.939388,20,17.324878
8.270921,10,17.423955
18.053644,25,17.683825
5.257129,8,17.768902
10.645773,14,17.909725
9.987056,17,18.078916
12.833169,17,18.244578
12.492798,15,18.390234
7.21876,12,18.507705
7.115124,21,18.713081
12.022837,20,18.919648
9.540345,14,19.071173
5.396947,7,19.145537
15.285623,20,19.356571
22.33155,46,19.8134
7.267648,33,20.159939
7.773315,10,20.26295
30.590336,30,20.569551
12.431923,14,20.711922
6.146939,11,20.823562
5.489862,20,21.022543
15.793721,20,21.224996
3.379093,9,21.320287
5.866015,9,21.417093
7.069821,9,21.508643
22.471508,21,21.723139
13.29366,20,21.934004
11.555632,18,22.129116
10.615533,12,22.252248
6.373051,8,22.336843
11.402213,17,22.511761
13.329663,21,22.720516
5.850685,13,22.852918
13.214901,16,23.008627
63.600451,46,23.476099
10.749479,21,23.689077
8.599528,13,23.829511
19.910391,19,24.020532
11.754035,26,24.278538
8.179395,14,24.419717
26.84701,29,147.944654
40.633217,35,148.246991
6.468976,9,148.321162
8.877281,12,148.419464
13.178225,21,148.593962
15.405589,21,148.775717
10.23036,12,148.878043
17.035534,21,149.05855
6.470468,10,149.142588
7.595453,11,149.234595
5.346832,8,149.302428
6.177608,9,149.374052
6.714183,10,149.459549
8.98554,12,149.562233
9.105417,14,149.677981
10.031741,15,149.795484
15.055121,26,149.982174
7.155519,9,150.047484
12.488305,14,150.148979
10.032857,14,150.251769
8.404508,10,150.33085
10.682509,15,150.438329
10.571949,14,150.539144
6.594289,10,150.611187
8.87581,11,150.691566
25.098944,34,150.935998
7.813236,10,151.009982
5.06516,9,151.087648
8.203063,11,151.177078
9.595112,13,151.278012
6.128478,9,151.345562
7.455097,11,151.42503
7.009215,9,151.489327
8.051343,10,151.563417
15.602252,18,151.693855
10.435603,16,151.822139
7.66938,10,151.894309
6.601047,9,151.964703
8.178371,14,152.071812
23.403546,20,152.216791
8.506457,11,152.300028
8.388129,12,152.38983
6.960824,10,152.46219
9.539188,15,152.575447
7.382526,11,152.654211
8.874139,10,152.726126
19.113966,19,152.884869
6.919919,13,152.978533
15.990729,23,153.150611
6.400595,9,153.215448
10.416016,23,153.391426
13.139086,22,153.551889
7.185275,13,153.66295
9.604113,11,153.755909
13.245337,18,153.909959
9.704612,11,154.044787
7.449294,10,154.174472
5.262163,8,154.280301
8.531774,12,154.442775
5.891298,15,154.627939
7.277011,10,154.752854
6.338931,9,154.859443
12.751531,15,155.041767
8.062178,10,155.159281
30.148413,33,155.516284
9.364095,21,155.7168
12.721183,15,155.861306
7.388712,14,155.997268
6.167514,9,156.098759
10.219023,13,156.231026
8.36699,16,156.388331
7.440672,15,156.565984
6.530162,10,156.681119
11.707037,15,156.832997
13.596077,17,157.00501
7.259474,10,157.109946
8.234426,15,157.275352
13.049084,17,157.45902
9.416273,13,157.607814
9.440477,13,157.747595
7.990477,12,157.874497
14.673175,18,158.077657
14.596886,20,158.299996
11.587254,19,158.504297
7.431997,11,158.630232
10.084435,13,158.775534
6.689018,9,158.876587
5.816966,8,158.957202
5.526959,8,159.056018
6.207603,9,159.175432
11.606922,37,159.626855
16.064263,24,159.922292
6.586332,11,160.052754
7.338891,13,160.211053
8.204713,10,160.320855
12.846702,15,160.500092
13.234754,15,160.66553
15.256177,19,160.909084
5.584401,8,161.009784
9.282411,12,161.148993
6.115199,9,161.229085
11.385405,19,161.411963
5.020886,8,161.480364
5.881276,8,161.545947
9.697817,12,161.643966
12.212828,28,161.877972
7.309083,10,161.965306
10.170435,18,162.129493
8.230177,11,162.228605
7.689009,11,162.341305
5.532087,8,162.409676
6.409549,10,162.497111
9.593834,11,162.604991
6.023538,8,162.679455
6.929165,11,162.780503
9.822631,12,162.892254
6.968203,10,162.995911
13.655596,13,163.113924
19.726289,33,163.5001
8.895085,12,163.636905
8.089015,10,163.74264
5.508942,9,163.853849
11.023695,15,164.019872
7.366659,11,164.135574
15.638711,17,164.319497
15.268526,25,164.605201
7.596037,11,164.716345
10.878015,15,164.882062
11.303031,15,165.041993
14.500887,19,165.245185
10.491997,14,165.398286
5.495221,8,165.485467
9.077021,12,165.607766
5.979212,8,165.69185
7.870667,10,165.802468
8.659178,12,165.938077
6.782646,9,166.042608
10.185085,12,166.184691
10.458201,19,166.395833
6.410369,9,166.496756
11.314716,14,166.654966
8.122497,19,166.879972
10.372106,13,167.047365
11.682518,15,167.213663
10.999201,13,167.343215
19.42256,18,167.534613
10.656987,13,167.676736
9.059543,13,335.289271
7.275537,10,335.372893
7.249368,9,335.449503
6.242133,9,335.526399
11.625099,13,335.636743
7.351951,9,335.714173
9.290566,11,335.811625
9.028981,11,335.9099
6.0537,8,335.978546
13.933821,16,336.119005
7.104548,9,336.194556
7.04977,9,336.26931
6.4792,9,336.34305
10.318872,19,336.502171
6.031118,8,336.56987
6.152372,9,336.648873
7.778123,11,336.743387
7.876522,10,336.828615
7.344,14,336.951454
4.584446,8,337.021763
20.458095,18,337.17335
9.661389,12,337.276331
6.020121,8,337.345195
11.673418,14,337.467357
11.208454,31,337.738842
4.173606,7,337.800911
8.394352,11,337.89426
8.379594,10,337.977927
14.219017,19,338.140371
8.66514,15,338.269256
5.620667,11,338.365033
8.452994,12,338.468019
22.685523,21,338.653553
8.442683,10,338.743237
7.053601,10,338.827571
8.235206,10,338.911197
5.451246,9,338.98737
8.438134,11,339.081038
8.373634,13,339.189656
8.880619,11,339.28265
6.469671,9,339.360327
19.941038,23,339.562671
8.301438,10,339.647288
9.134016,12,339.745407
7.363101,9,339.822284
9.060425,12,339.922907
8.981087,12,340.024707
7.158372,11,340.117997
6.162288,8,340.184727
4.693162,7,340.242998
7.752965,13,340.353916
11.573703,13,340.466465
8.406667,10,340.552207
12.04513,18,340.70655
8.39225,12,340.807123
6.622802,9,340.883376
5.91317,10,340.967426
6.636625,9,341.043256
6.079425,9,341.118826
7.700569,11,341.215742
14.553613,14,341.336919
8.714581,11,341.429022
6.845176,10,341.515754
7.477315,9,341.592998
11.026114,21,341.772756
7.169386,9,341.846601
6.114119,8,341.912837
7.698215,13,342.019625
7.466779,9,342.100815
12.593871,14,342.219712
5.501183,10,342.30159
8.835866,11,342.394631
9.694858,13,342.502028
9.824855,15,342.633919
11.466434,12,342.735174
5.465773,9,342.810026
6.537721,9,342.884142
5.365071,8,342.95225
5.075125,8,343.019476
7.235148,9,343.094112
7.589483,9,343.169794
11.356539,13,343.277644
7.05199,12,343.378349
6.042397,8,343.446464
11.973588,15,343.573775
7.904458,11,343.66735
11.821695,15,343.794897
5.135601,7,343.853645
9.871723,12,343.953929
12.381762,14,344.070314
12.919462,14,344.190488
7.823813,10,344.277507
8.002828,10,344.359558
5.075277,8,344.425575
10.167782,12,344.525038
5.603097,8,344.600599
9.909247,12,344.703359
6.302379,9,344.779631
7.318009,12,344.878247
10.945739,19,345.033975
16.73018,16,345.169702
4.266414,7,345.228636
15.115088,15,345.355005
8.162999,11,345.452574
